"file","specimen_uid","specimen_id","city","urbanity_code","urbanity","site_letter","site","location","species_code","species","side","wing","photo_rep","digit_rep"
"07-ZHUB-L-RF1_rep.txt","ZH_U_B_07_L","07","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,2
"07-ZHUB-L-RF1.txt","ZH_U_B_07_L","07","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"07-ZHUB-L-RF2.txt","ZH_U_B_07_L","07","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",2,1
"08-ZHRE-L-LF1.txt","ZH_R_E_08_L","08","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"08-ZHRE-L-RF1.txt","ZH_R_E_08_L","08","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"08-ZHRF-L-LF1.txt","ZH_R_F_08_L","08","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"08-ZHRF-L-RF1.txt","ZH_R_F_08_L","08","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"08-ZHUA-L-LF1_rep.txt","ZH_U_A_08_L","08","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,2
"08-ZHUA-L-LF1.txt","ZH_U_A_08_L","08","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"08-ZHUA-L-LF2.txt","ZH_U_A_08_L","08","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",2,1
"08-ZHUA-L-RF1_rep.txt","ZH_U_A_08_L","08","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,2
"08-ZHUA-L-RF1.txt","ZH_U_A_08_L","08","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"08-ZHUA-L-RF2.txt","ZH_U_A_08_L","08","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",2,1
"08-ZHUB-L-LF1.txt","ZH_U_B_08_L","08","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"08-ZHUB-L-RF1.txt","ZH_U_B_08_L","08","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"08-ZHUC-L-LF1_rep.txt","ZH_U_C_08_L","08","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,2
"08-ZHUC-L-LF1.txt","ZH_U_C_08_L","08","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"08-ZHUC-L-LF2.txt","ZH_U_C_08_L","08","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",2,1
"08-ZHUC-L-RF1_rep.txt","ZH_U_C_08_L","08","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,2
"08-ZHUC-L-RF1.txt","ZH_U_C_08_L","08","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"08-ZHUC-L-RF2.txt","ZH_U_C_08_L","08","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",2,1
"09-ZHRE-L-LF1.txt","ZH_R_E_09_L","09","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"09-ZHRE-L-RF1.txt","ZH_R_E_09_L","09","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"09-ZHRF-L-LF1_rep.txt","ZH_R_F_09_L","09","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,2
"09-ZHRF-L-LF1.txt","ZH_R_F_09_L","09","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"09-ZHRF-L-LF2.txt","ZH_R_F_09_L","09","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",2,1
"09-ZHRF-L-RF1_rep.txt","ZH_R_F_09_L","09","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,2
"09-ZHRF-L-RF1.txt","ZH_R_F_09_L","09","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"09-ZHRF-L-RF2.txt","ZH_R_F_09_L","09","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",2,1
"09-ZHUB-L-LF1_rep.txt","ZH_U_B_09_L","09","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,2
"09-ZHUB-L-LF1.txt","ZH_U_B_09_L","09","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"09-ZHUB-L-LF2.txt","ZH_U_B_09_L","09","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Left","Forewing",2,1
"09-ZHUB-L-RF1_rep.txt","ZH_U_B_09_L","09","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,2
"09-ZHUB-L-RF1.txt","ZH_U_B_09_L","09","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"09-ZHUB-L-RF2.txt","ZH_U_B_09_L","09","ZH","U","Urban","B","ZH-B","ZH-Urban","L","Bombus lapidarius","Right","Forewing",2,1
"09-ZHUC-L-LF1.txt","ZH_U_C_09_L","09","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"09-ZHUC-L-RF1.txt","ZH_U_C_09_L","09","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"10-ZHRD-L-LF1.txt","ZH_R_D_10_L","10","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"10-ZHRD-L-RF1.txt","ZH_R_D_10_L","10","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"10-ZHRE-L-LF1_rep.txt","ZH_R_E_10_L","10","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,2
"10-ZHRE-L-LF1.txt","ZH_R_E_10_L","10","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"10-ZHRE-L-LF2.txt","ZH_R_E_10_L","10","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",2,1
"10-ZHRE-L-RF1_rep.txt","ZH_R_E_10_L","10","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,2
"10-ZHRE-L-RF1.txt","ZH_R_E_10_L","10","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"10-ZHRE-L-RF2.txt","ZH_R_E_10_L","10","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",2,1
"10-ZHRF-L-LF1.txt","ZH_R_F_10_L","10","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"10-ZHRF-L-RF1.txt","ZH_R_F_10_L","10","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"10-ZHUA-L-LF1.txt","ZH_U_A_10_L","10","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"10-ZHUA-L-RF1.txt","ZH_U_A_10_L","10","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"11-ZHRD-L-LF1.txt","ZH_R_D_11_L","11","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"11-ZHRD-L-RF1.txt","ZH_R_D_11_L","11","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"11-ZHRE-L-LF1.txt","ZH_R_E_11_L","11","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"11-ZHRE-L-RF1.txt","ZH_R_E_11_L","11","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"11-ZHRF-L-LF1.txt","ZH_R_F_11_L","11","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"11-ZHRF-L-RF1.txt","ZH_R_F_11_L","11","ZH","R","Rural","F","ZH-F","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"12-ZHRD-L-LF1.txt","ZH_R_D_12_L","12","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"12-ZHRD-L-RF1.txt","ZH_R_D_12_L","12","ZH","R","Rural","D","ZH-D","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"12-ZHRE-L-LF1.txt","ZH_R_E_12_L","12","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Left","Forewing",1,1
"12-ZHRE-L-RF1.txt","ZH_R_E_12_L","12","ZH","R","Rural","E","ZH-E","ZH-Rural","L","Bombus lapidarius","Right","Forewing",1,1
"12-ZHUA-L-LF1.txt","ZH_U_A_12_L","12","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"12-ZHUA-L-RF1.txt","ZH_U_A_12_L","12","ZH","U","Urban","A","ZH-A","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,1
"12-ZHUC-L-LF1_rep.txt","ZH_U_C_12_L","12","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,2
"12-ZHUC-L-LF1.txt","ZH_U_C_12_L","12","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",1,1
"12-ZHUC-L-LF2.txt","ZH_U_C_12_L","12","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Left","Forewing",2,1
"12-ZHUC-L-RF1_rep.txt","ZH_U_C_12_L","12","ZH","U","Urban","C","ZH-C","ZH-Urban","L","Bombus lapidarius","Right","Forewing",1,2
